ID,Nombre,Año,Duración,Metascore
tt31193180,1. Los pecadores,2025,2h 17m,84
tt32149847,10. La cita,2025,1h 35m,65
tt9603212,100. Misión: Imposible - Sentencia mortal. Parte Uno,2023,2h 43m,81
tt20969586,11. Thunderbolts*,2025,2h 6m,N/A
tt31176520,12. Eddington,2025,N/A,N/A
tt7967302,13. El Rey de Reyes,2025,1h 43m,42
tt12908150,14. La vida de Chuck,2024,1h 50m,64
tt29603959,15. Novocaine,2025,1h 50m,58
tt30988739,16. Confidencial (Black Bag),2025,1h 33m,85
tt21815562,17. The Alto Knights,2025,2h 3m,47
tt14513804,18. Capitán América: Brave New World,2025,1h 58m,42
tt0335345,19. La pasión de Cristo,2004,2h 7m,47
tt3566834,2. Una película de Minecraft,2025,1h 41m,45
tt28607951,20. Anora,2024,2h 19m,91
tt26584495,21. La acompañante,2025,1h 37m,70
tt10548174,22. 28 años después,2025,2h 6m,N/A
tt7068946,23. El contable 2,2025,2h 4m,62
tt2172954,24. Mi lista de deseos,2025,2h 3m,49
tt11563598,25. A Complete Unknown,2024,2h 21m,70
tt31314296,26. La mujer de las sombras,2025,1h 28m,51
tt13186482,27. Mufasa: El rey león,2024,1h 58m,56
tt6604188,28. Tron: Ares,2025,N/A,N/A
tt32223398,29. Jaat,2025,2h 38m,N/A
tt6208148,3. Blancanieves,2025,1h 49m,50
tt5040012,30. Nosferatu,2024,2h 12m,78
tt7766378,31. Estado eléctrico,2025,2h 5m,30
tt13654226,32. El abismo secreto,2025,2h 7m,57
tt27714946,33. The Monkey,2025,1h 38m,62
tt4419684,34. In the Lost Lands,2025,1h 41m,41
tt17526714,35. La sustancia,2024,2h 21m,78
tt9603208,36. Misión imposible: Sentencia final,2025,2h 49m,N/A
tt5950044,37. Superman,2025,N/A,N/A
tt1262426,38. Wicked,2024,2h 40m,73
tt24850708,39. Gunslingers,2025,1h 44m,22
tt31434639,4. Warfare: Tiempo de guerra,2025,1h 35m,78
tt2140479,40. El contable,2016,2h 8m,51
tt28443655,41. Death of a Unicorn,2025,1h 47m,51
tt27922706,42. Chhaava,2025,2h 41m,N/A
tt28015403,43. Heretic (Hereje),2024,1h 51m,71
tt12584954,44. Twisters,2024,2h 2m,65
tt8999762,45. The Brutalist,2024,3h 36m,90
tt30955489,46. Until Dawn,2025,1h 43m,N/A
tt20215234,47. Cónclave,2024,2h,79
tt1745960,48. Top Gun: Maverick,2022,2h 10m,78
tt9218128,49. Gladiator II,2024,2h 28m,64
tt0899043,5. Amateur,2025,2h 2m,52
tt21823606,50. A Real Pain,2024,1h 30m,85
tt13622970,51. Vaiana 2,2024,1h 40m,58
tt3045628,52. Holland,2025,1h 50m,42
tt7131622,53. Érase una vez en... Hollywood,2019,2h 41m,84
tt9619824,54. Destino final: Lazos de sangre,2025,1h 50m,N/A
tt26743210,55. Cómo entrenar a tu dragón,2025,1h 56m,N/A
tt20214908,56. Otro pequeño favor,2025,2h,57
tt15398776,57. Oppenheimer,2023,3h,90
tt4772188,"58. Flow, un mundo que salvar",2024,1h 25m,87
tt0816692,59. Interstellar,2014,2h 49m,74
tt23476986,6. G20,2025,1h 48m,53
tt18259086,60. Sonic 3: La película,2024,1h 50m,56
tt8790086,61. Kraven the Hunter,2024,2h 7m,35
tt27534307,62. No hables con extraños,2024,1h 50m,66
tt0282687,63. Siete días y una vida,2002,1h 43m,31
tt20990442,64. Him,2025,R,N/A
tt30057084,65. Babygirl,2024,1h 54m,79
tt0468569,66. El caballero oscuro,2008,2h 32m,84
tt33305312,67. Borbaad,2025,2h 19m,N/A
tt0414387,68. Pride & Prejudice (Orgullo y prejuicio),2005,2h 9m,82
tt3774694,69. Love,2015,2h 15m,51
tt10676052,7. Los 4 Fantásticos: Primeros pasos,2025,N/A,N/A
tt26625693,70. The Order (La hermandad silenciosa),2024,1h 56m,75
tt27218960,71. Y2K,2024,1h 31m,49
tt32768323,72. La evaluación,2024,1h 54m,65
tt0241527,73. Harry Potter y la piedra filosofal,2001,2h 32m,65
tt31181421,74. IRehén,2025,1h 40m,N/A
tt11655566,75. Lilo y Stitch,2025,1h 48m,N/A
tt30840798,76. La trama fenicia,2025,PG-13,N/A
tt6263850,77. Deadpool y Lobezno,2024,2h 8m,56
tt7040874,78. Un pequeño favor,2018,1h 57m,67
tt29425792,79. Home Sweet Home: Rebirth,2025,1h 33m,N/A
tt9150192,8. A Working Man,2025,1h 56m,52
tt5822536,80. Paddington: Aventura en la selva,2024,1h 46m,65
tt18412256,81. Alien: Romulus,2024,1h 59m,64
tt0993846,82. El lobo de Wall Street,2013,3h,75
tt0361748,83. Malditos bastardos,2009,2h 33m,69
tt1104001,84. Tron: Legacy,2010,2h 5m,49
tt29623480,85. Robot salvaje,2024,1h 42m,85
tt14123284,86. Havoc,2025,1h 45m,N/A
tt29268110,87. Smile 2,2024,2h 7m,67
tt10545296,88. Los juegos del hambre: Balada de pájaros cantores y serpientes,2023,2h 37m,54
tt17279496,89. Civil War,2024,1h 49m,75
tt12299608,9. Mickey 17,2025,2h 17m,72
tt27540217,90. Good Bad Ugly,2025,2h 19m,N/A
tt1371150,91. Ahí os quedáis,2014,1h 43m,44
tt14961016,92. Aún estoy aquí,2024,2h 17m,85
tt0332379,93. Escuela de rock,2003,1h 49m,82
tt31036941,94. Jurassic World: El renacer,2025,N/A,N/A
tt1392170,95. Los juegos del hambre,2012,2h 22m,68
tt1375666,96. Origen,2010,2h 28m,74
tt0120737,97. El señor de los anillos: La comunidad del anillo,2001,2h 58m,92
tt15239678,98. Dune: Parte dos,2024,2h 46m,79
tt15745084,99. V de Venganza,2022,1h 26m,N/A
